ID,LTPC,Northing,Easting,L30_B02,L30_B03,L30_B04,L30_B05,L30_B06,L30_B07,S30_B02,S30_B03,S30_B04,S30_B05,S30_B06,S30_B07,S30_B11,S30_B12,S30_B8A
335,4,4306886.094301708,461550.63251600374,812,1102,1299,3155,2939,2024,985,1279,1463,1778,2750,3247,2868,1888,3577
336,4,4358428.398995719,412270.1922506712,824,984,1021,2819,2557,1655,613,832,942,1214,1945,2288,2625,1721,2591
337,4,4251330.943122929,651267.8092889984,496,874,970,3070,2688,1613,683,1032,1152,1579,2449,2764,2541,1552,3068
338,4,4330943.952038093,445879.74044791365,875,1165,1112,4131,2566,1617,877,1181,1105,1582,3285,3880,2473,1524,4152
339,4,4323997.288502809,439959.98455522757,956,1243,1330,3466,2491,1693,838,1131,1170,1611,2658,3085,2321,1539,3333
340,4,4398492.901916589,409729.006611683,789,1042,1205,2752,2489,1633,758,1030,1251,1508,2105,2427,2806,1858,2694
341,4,4314443.935842368,438499.5863529029,1060,1308,1554,2971,3051,2212,988,1252,1475,1670,2245,2664,2805,1984,2925
342,4,4336883.634487018,517616.32434470113,572,878,1069,2897,2792,1955,1034,1300,1452,1694,2502,2995,2457,1673,3256
343,4,4330888.799103397,414646.60174174345,1290,1587,1709,4298,2448,1513,906,1213,1275,1663,2931,3499,2422,1464,3802
344,4,4370758.950028681,497655.7694313029,711,952,1033,3040,2473,1601,397,645,713,1027,1949,2426,2291,1421,2697
345,4,4281123.611573626,656855.5578862012,491,809,866,3221,2516,1551,926,1269,1365,1846,2999,3460,2545,1612,3764
346,4,4372163.428730547,435675.4662409972,500,709,714,2616,1981,1218,410,561,599,948,1663,2016,1959,1177,2287
347,4,4281301.122393368,527644.4236893696,789,1084,1270,2979,2977,2137,649,935,1109,1419,2203,2642,2915,2011,2968
348,4,4331059.185187337,501254.4277409599,622,888,1113,2695,3108,2191,800,1078,1306,1566,2235,2693,3011,2087,3002
349,4,4342726.96011559,496844.2749475139,1007,1294,1424,3768,2709,1779,728,1044,1203,1573,2614,3128,2689,1741,3487
350,4,4367150.454407631,430636.39781456784,1084,1365,1512,3391,2969,1982,1095,1379,1509,1857,2668,3034,2912,1900,3341
351,4,4363437.1539832475,472191.498184425,939,1138,1246,2948,2594,1704,624,860,989,1269,1983,2346,2726,1775,2677
352,4,4380841.834458366,429142.82182024216,1004,1285,1460,3188,2742,1799,914,1188,1384,1663,2369,2739,2764,1826,3052
353,4,4315136.917130661,465694.514993049,510,732,857,2476,2607,1785,974,1207,1377,1616,2220,2560,2682,1866,2847
354,4,4306662.19758198,533002.9818814422,542,820,956,2781,2719,1780,762,1012,1125,1442,2465,2957,2593,1605,3263
355,4,4274597.1226827325,515705.0200289969,916,1173,1369,3010,2730,2054,696,947,1168,1397,2081,2586,2696,1963,2897
356,4,4367603.462644647,547041.09947914,641,952,1131,3330,3048,2011,1182,1502,1712,2037,2897,3332,3035,2067,3687
357,4,4262184.758179056,527969.0779017257,572,891,998,2864,2825,2012,544,822,891,1251,2263,2686,2584,1714,2953
358,4,4368449.460170326,599494.9638432338,756,965,999,3146,2189,1272,638,884,948,1249,2226,2651,2353,1376,2941
359,4,4300026.059704329,437699.79873909964,440,777,842,2876,2368,1481,728,1053,1212,1554,2286,2611,2508,1631,2899
360,4,4387190.511280688,503605.2297527712,951,1167,1299,2719,2577,1813,778,1021,1187,1441,2029,2324,2604,1837,2605
361,4,4351250.702590293,529768.7999695422,784,1064,1136,3167,2759,1665,932,1219,1315,1728,2585,2932,2796,1760,3244
362,4,4382375.923633975,596060.1198929815,1027,1256,1360,3343,2758,1878,793,1064,1237,1524,2294,2689,3010,2042,3000
363,4,4399926.965845665,416044.7356399562,949,1171,1223,3780,2412,1494,666,927,992,1351,2547,3154,2482,1526,3480
364,4,4288388.467754131,593278.1844204175,556,878,1032,2853,2861,1900,855,1148,1338,1679,2433,2789,2770,1809,3110
365,4,4319247.768345251,433172.0530659021,1020,1257,1441,3065,2979,2112,1022,1283,1443,1710,2355,2699,2764,1899,2969
366,4,4375777.611792271,509325.42488142883,961,1172,1298,2775,2432,1645,635,872,1006,1253,1931,2325,2518,1673,2589
367,4,4279904.407860299,641999.3528980371,370,615,639,2559,2202,1351,521,785,851,1187,2105,2468,2147,1291,2762
368,4,4299292.85353728,439281.6910652324,1028,1247,1449,2794,2853,2068,1173,1454,1692,1900,2519,2881,3057,2209,3168
369,4,4336222.990430276,535223.5477779307,676,1036,1282,3072,3249,2269,1086,1415,1632,1903,2717,3211,2879,1943,3518
370,4,4281029.092555548,522970.3954570256,564,904,1009,3286,2777,1812,682,993,1069,1491,2699,3232,2584,1600,3561
371,4,4346200.221722848,531636.161979815,503,797,943,2757,2468,1566,976,1235,1321,1662,2621,3061,2339,1432,3356
372,4,4395807.341397055,431567.57808486244,504,724,734,2675,1949,1172,597,804,888,1240,1970,2300,2218,1420,2580
373,4,4269857.051643727,654920.4862406118,489,834,845,3493,2694,1588,816,1164,1166,1659,2864,3319,2619,1561,3643
374,4,4365998.799402137,506436.8859350537,948,1282,1356,3498,2506,1463,535,914,1012,1515,2544,2949,2709,1554,3327
375,4,4392024.898105467,457246.5284665762,1136,1397,1451,3253,2278,1493,636,892,930,1357,2210,2528,2381,1540,2787
376,4,4256423.211355831,549142.2385944626,466,763,847,2800,2495,1544,542,845,904,1293,2473,2984,2652,1560,3353
377,4,4380883.701066258,589349.8065552453,633,846,922,2691,2222,1444,630,890,1051,1320,2077,2463,2662,1765,2788
378,4,4316268.533334025,447585.9432218273,407,707,756,3564,2213,1224,840,1107,1207,1545,2596,3110,2255,1310,3412
379,4,4375691.072732687,490061.6365499144,548,776,793,2742,2033,1230,377,657,720,1120,2069,2428,2258,1382,2729
380,4,4334874.197181635,486535.3051934154,511,751,897,2513,2623,1903,732,990,1151,1367,2168,2693,2677,1886,2980
381,4,4356659.348814635,545297.8549603758,1055,1323,1566,3311,3035,2027,962,1283,1512,1855,2707,3141,2837,1845,3512
382,4,4333721.560131681,496857.23886798345,524,814,999,2783,2803,1898,853,1132,1340,1579,2353,2829,2727,1820,3171
383,4,4313355.857434012,487568.3855147586,336,568,605,2508,2126,1212,355,578,671,948,1767,2130,2031,1175,2464
384,4,4397815.976025504,553487.3513212509,1043,1308,1488,3023,2804,2014,1027,1313,1523,1763,2426,2825,2865,2038,3117
385,4,4363538.022222833,576107.8642356055,1057,1291,1463,3393,2917,2009,1092,1332,1495,1752,2589,3036,2846,1954,3340
386,4,4308517.871821688,601798.1003763279,564,852,976,2807,2585,1668,970,1289,1433,1776,2624,2985,2713,1741,3314
387,4,4393417.152587514,549561.7168017756,932,1229,1335,3110,2549,1670,869,1159,1259,1612,2457,2783,2375,1535,3068
388,4,4359545.429006285,577404.1964870783,1110,1358,1579,3462,3121,2148,1048,1324,1541,1821,2704,3177,3084,2102,3508
389,4,4310198.433191489,520454.46665738174,501,790,899,2827,2580,1668,660,923,1027,1367,2234,2615,2444,1548,2935
390,4,4302024.041431752,540821.0791299286,383,704,763,3142,2406,1465,659,971,1090,1415,2426,2969,2417,1508,3278
391,4,4208235.066069386,687767.9044644391,471,746,842,3040,2614,1640,571,855,1015,1321,2135,2520,2627,1729,2819
392,4,4333477.587554424,545282.6514384199,608,932,1118,2929,3017,2115,1026,1336,1517,1804,2592,3051,2801,1910,3356
393,4,4297622.836876263,587665.8393362752,563,846,936,2693,2448,1577,914,1179,1270,1597,2493,2912,2495,1539,3207
394,4,4324929.853905475,438657.31623193895,701,889,911,3191,2186,1321,789,1030,1064,1432,2412,2827,2297,1442,3138
395,4,4357271.9281373285,472598.15296397824,969,1222,1445,3034,3061,2290,580,874,1147,1384,1954,2351,3130,2248,2669
396,4,4344028.596682516,525902.5628105286,1066,1320,1503,3132,2787,2069,1020,1312,1533,1764,2414,2854,2939,2181,3158
397,4,4262530.452406025,530252.3290466915,662,947,1055,3402,2950,1910,599,858,954,1318,2519,3109,2818,1751,3482
398,4,4345089.320499236,491589.5598520482,859,1122,1304,3159,2892,2041,1019,1301,1498,1715,2630,3125,2836,1960,3446
399,4,4308110.42279426,601512.4433147516,614,928,1083,2915,2915,1919,1036,1358,1538,1856,2636,2978,2776,1810,3283
400,5,4242451.757482737,700625.1754483486,611,915,1050,2647,2541,1668,599,897,1024,1375,2184,2537,2488,1608,2839
401,5,4262701.954805166,609301.5830620648,489,811,929,2957,2688,1730,668,981,1145,1516,2327,2714,2672,1710,3041
402,5,4364759.457274535,421653.8755590749,412,671,757,2269,2304,1509,725,962,1053,1324,1990,2240,2218,1443,2478
403,5,4283384.516546414,674715.4017148552,571,892,1068,2803,3049,2036,841,1164,1378,1674,2349,2671,2983,2013,3032
404,5,4208066.065883942,609820.3693444312,974,1447,1723,3091,3417,2562,883,1299,1584,1912,2422,2674,3069,2294,2943
405,5,4381607.278324723,431257.4498018137,572,748,723,2661,1894,1079,659,879,914,1202,2064,2397,2140,1234,2688
406,5,4202964.808404425,539606.3384819023,440,705,769,2865,2769,1821,392,637,721,1071,1975,2350,2628,1671,2708
407,5,4368145.011518072,608632.4974441575,492,693,692,2347,1882,1087,619,848,845,1204,2172,2546,2068,1162,2820
408,5,4222039.982638966,638995.4365369742,176,362,291,1933,1137,580,151,350,313,656,1461,1720,1252,662,1965
409,5,4382031.665390803,553468.2374899003,918,1191,1265,2825,2430,1601,664,919,985,1429,2261,2583,2462,1535,2878
410,5,4236166.346436082,694089.4335734177,496,911,1017,3145,2833,1784,506,857,940,1480,2534,2958,2874,1781,3326
411,5,4211773.314789544,588608.6899328579,357,618,623,2667,2477,1416,333,585,652,1011,1811,2136,2531,1486,2469
412,5,4241335.249085639,567350.4935727955,309,513,496,2599,2102,1157,423,631,633,961,1887,2270,2296,1263,2622
413,5,4219528.280057955,606189.3509478789,236,411,374,2346,1524,779,272,478,464,824,1881,2284,1764,920,2609
414,5,4224078.022716911,613910.6153908214,374,674,498,1265,792,447,394,695,526,668,1123,1362,1077,621,1538
415,5,4244252.480544096,562324.0203251378,575,714,636,427,19,59,303,470,376,411,419,480,314,205,468
416,5,4219268.874742906,681636.5199432838,324,611,627,2900,2440,1360,390,687,725,1181,2272,2651,2508,1406,3056
417,5,4290723.511656512,674827.6190567492,822,1269,1513,3346,3432,2489,1143,1503,1762,2197,3030,3320,2970,2152,3559
418,5,4376274.713839247,510552.7759110325,446,630,625,2399,1856,1012,415,612,633,963,1728,2040,1950,1068,2340
419,5,4312218.663439032,457330.4351516152,531,887,922,3360,2918,1845,769,1099,1138,1527,2543,2931,2737,1741,3276
420,5,4358276.840778781,506249.1868123931,643,971,934,3647,2441,1316,605,937,892,1413,2714,3203,2573,1383,3596
421,5,4265952.9477140065,670159.7394589196,287,533,399,976,685,391,493,728,588,653,914,1033,779,435,1106
422,5,4248136.090246278,577203.4288657526,334,593,576,2945,2293,1264,469,716,708,1083,2152,2585,2234,1212,2921
423,5,4312050.785021775,438997.70441518584,930,1202,1208,3463,2633,1560,873,1166,1191,1601,2588,2979,2729,1629,3322
